METRO_NAME,EMPIRICAL_UNDERPRODUCTION_2012,EMPIRICAL_UNDERPRODUCTION_2013,EMPIRICAL_UNDERPRODUCTION_2014,EMPIRICAL_UNDERPRODUCTION_2015,EMPIRICAL_UNDERPRODUCTION_2016,EMPIRICAL_UNDERPRODUCTION_2017,EMPIRICAL_UNDERPRODUCTION_2018,EMPIRICAL_UNDERPRODUCTION_2019,EMPIRICAL_UNDERPRODUCTION_2021,EMPIRICAL_UNDERPRODUCTION_2022,EMPIRICAL_UNDERPRODUCTION_2023,HOUSEHOLDS_2012,HOUSEHOLDS_2013,HOUSEHOLDS_2014,HOUSEHOLDS_2015,HOUSEHOLDS_2016,HOUSEHOLDS_2017,HOUSEHOLDS_2018,HOUSEHOLDS_2019,HOUSEHOLDS_2021,HOUSEHOLDS_2022,HOUSEHOLDS_2023,HOUSING_UNITS_2012,HOUSING_UNITS_2013,HOUSING_UNITS_2014,HOUSING_UNITS_2015,HOUSING_UNITS_2016,HOUSING_UNITS_2017,HOUSING_UNITS_2018,HOUSING_UNITS_2019,HOUSING_UNITS_2021,HOUSING_UNITS_2022,HOUSING_UNITS_2023,ADJUSTED_HOUSING_UNITS_2012 ,ADJUSTED_HOUSING_UNITS_2013 ,ADJUSTED_HOUSING_UNITS_2014 ,ADJUSTED_HOUSING_UNITS_2015 ,ADJUSTED_HOUSING_UNITS_2016 ,ADJUSTED_HOUSING_UNITS_2017 ,ADJUSTED_HOUSING_UNITS_2018 ,ADJUSTED_HOUSING_UNITS_2019 ,ADJUSTED_HOUSING_UNITS_2021 ,ADJUSTED_HOUSING_UNITS_2022 ,ADJUSTED_HOUSING_UNITS_2023,UNINHABITABLE_UNITS_2012,UNINHABITABLE_UNITS_2013 ,UNINHABITABLE_UNITS_2014 ,UNINHABITABLE_UNITS_2015 ,UNINHABITABLE_UNITS_2016 ,UNINHABITABLE_UNITS_2017 ,UNINHABITABLE_UNITS_2018 ,UNINHABITABLE_UNITS_2019 ,UNINHABITABLE_UNITS_2021 ,UNINHABITABLE_UNITS_2022 ,PROBLEM_HOUSING_UNITS_2023,POPULATION_2012,POPULATION_2013,POPULATION_2014,POPULATION_2015,POPULATION_2016,POPULATION_2017,POPULATION_2018,POPULATION_2019,POPULATION_2021,POPULATION_2022,POPULATION_2023,MISSING_HOUSEHOLDS_2012,MISSING_HOUSEHOLDS_2013,MISSING_HOUSEHOLDS_2014,MISSING_HOUSEHOLDS_2015,MISSING_HOUSEHOLDS_2016,MISSING_HOUSEHOLDS_2017,MISSING_HOUSEHOLDS_2018,MISSING_HOUSEHOLDS_2019,MISSING_HOUSEHOLDS_2021,MISSING_HOUSEHOLDS_2022,MISSING_HOUSEHOLDS_2023,ANNUAL_PRODUCTION_2012,ANNUAL_PRODUCTION_2013,ANNUAL_PRODUCTION_2014,ANNUAL_PRODUCTION_2015,ANNUAL_PRODUCTION_2016,ANNUAL_PRODUCTION_2017,ANNUAL_PRODUCTION_2018,ANNUAL_PRODUCTION_2019,ANNUAL_PRODUCTION_2021,ANNUAL_PRODUCTION_2022,ANNUAL_PRODUCTION_2023,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2012,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2013,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2014,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2015,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2016,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2017,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2018,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2019,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2021,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2022,ANNUAL_PRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_2012,UNDERPRODUCTION_SHARE_OF_UNITS_2013,UNDERPRODUCTION_SHARE_OF_UNITS_2014,UNDERPRODUCTION_SHARE_OF_UNITS_2015,UNDERPRODUCTION_SHARE_OF_UNITS_2016,UNDERPRODUCTION_SHARE_OF_UNITS_2017,UNDERPRODUCTION_SHARE_OF_UNITS_2018,UNDERPRODUCTION_SHARE_OF_UNITS_2019,UNDERPRODUCTION_SHARE_OF_UNITS_2021,UNDERPRODUCTION_SHARE_OF_UNITS_2022,UNDERPRODUCTION_SHARE_OF_UNITS_2023,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2012,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2013,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2014,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2015,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2016,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2017,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2018,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2019,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2021,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2022,UNDERPRODUCTION_SHARE_OF_UNITS_RANK_2023,BURDENED_2012,BURDENED_2013,BURDENED_2014,BURDENED_2015,BURDENED_2016,BURDENED_2017,BURDENED_2018,BURDENED_2019,BURDENED_2021,BURDENED_2022,BURDENED_2023,RENT_2012,RENT_2013,RENT_2014,RENT_2015,RENT_2016,RENT_2017,RENT_2018,RENT_2019,RENT_2021,RENT_2022,RENT_2023,VALUE_2012,VALUE_2013,VALUE_2014,VALUE_2015,VALUE_2016,VALUE_2017,VALUE_2018,VALUE_2019,VALUE_2021,VALUE_2022,VALUE_2023,VACATION_2012,VACATION_2013,VACATION_2014,VACATION_2015,VACATION_2016,VACATION_2017,VACATION_2018,VACATION_2019,VACATION_2021,VACATION_2022,VACATION_2023
"Iowa City, IA",3010.27,1904.30,923.70,-769.45,-320.15,-421.50,-526.60,-2272.95,-1824.19,-1462.86,151.29,55353,55806,55574,55711,57217,59190,60868,60781,61301,63337,64075,56993,57091,58039,59679,61658,63294,64767,66252,66316,68160,68079,55961,56692,57429,59266,60398,62571,64438,66093,66316,68140,67718,1032,399,610,413,1260,723,329,159,0,20,361,113300,115519,117336,119199,121318,122317,118766,118953,123604,122550,122391,810.1102226,0,0,0,0,0,0,0,119.7718394,165.0334996,562.4179053,NA,98,948,1640,1979,1636,1473,1485,32,1844,-81,NA,0.17%,1.63%,2.75%,3.21%,2.58%,2.27%,2.24%,0.05%,2.71%,-0.12%,5.28%,3.34%,1.59%,-1.29%,-0.52%,-0.67%,-0.81%,-3.43%,-2.75%,-2.15%,0.22%,10,31,65,189,159,158,184,259,272,253,188,0.517605492,0.502823795,0.527348696,0.510869143,0.527037348,0.503625759,0.473090465,0.525672712,0.519597615,0.539362491,0.531684269,781,799,911,868,878,943,968,932,968,1013,1072,174200,187300,193500,186600,222200,218500,225300,241600,270500,264600,298700,NA,428,609,704,392,338,361,864,664,NA,1152
"Lansing-East Lansing, MI",-3841.67,-2434.28,-3108.87,-3388.72,-3055.49,-3348.29,-3381.13,-257.02,-2076.94,1486.21,415.43,181262,183135,183357,183888,185392,186202,186833,189025,191840,194438,194031,197512,197800,198002,199465,200069,202244,202620,203775,206129,206799,207283,195408,196444,197000,198357,198642,200960,201401,201867,205660,205466,206274,2104,1356,1002,1108,1427,1284,1219,1908,469,1333,1009,384907,387349,389618,391457,394411,397581,379535,379370,375561,375440,374117,1182.120598,1636.160386,1301.219011,1796.079914,880.8644623,1999.62744,1757.35464,2984.506958,2048.633192,2659.346326,2816.071706,NA,288,202,1463,604,2175,376,1155,1177,670,484,NA,0.15%,0.10%,0.73%,0.30%,1.08%,0.19%,0.57%,0.57%,0.32%,0.23%,-1.95%,-1.23%,-1.57%,-1.70%,-1.53%,-1.66%,-1.67%,-0.13%,-1.01%,0.72%,0.20%,179,165,186,202,192,190,211,172,225,172,189,0.549442897,0.503837452,0.49219938,0.463430942,0.464552833,0.439195418,0.47450016,0.434870791,0.484211121,0.478101978,0.460975879,740,789,783,790,827,843,863,852,917,966,1042,124900,130400,129100,138500,142800,152200,158800,159700,179200,194700,219100,1478,751,1305,1146,1206,701,1271,520,798,964,1041
"Louisville/Jefferson County, KY-IN",-3217.78,3084.85,-5821.71,804.29,153.56,6401.22,803.27,2952.31,5429.55,9007.72,986.05,444708,446487,445813,448071,452164,453825,455930,457817,483821,488524,483484,488430,489029,492793,494577,496878,497901,502028,507383,519790,518361,520015,481398,483207,486384,485043,488341,486803,491739,499069,514166,512301,515203,7032,5822,6409,9534,8537,11098,10289,8314,5624,6060,4812,899894,912978,913682,925575,928940,937987,918350,918104,935355,927883,926396,10701.73215,16648.09391,11865.37122,14640.70117,13068.9128,15893.30869,13157.8752,20298.53178,11031.90058,7960.493125,8124.617294,NA,599,3764,1784,2301,1023,4127,5355,6203.5,-1429,1654,NA,0.12%,0.76%,0.36%,0.46%,0.21%,0.82%,1.06%,1.19%,-0.28%,0.32%,-0.66%,0.63%,-1.18%,0.16%,0.03%,1.29%,0.16%,0.58%,1.04%,1.74%,0.19%,129,90,166,118,139,97,152,150,153,136,190,0.456408664,0.413586395,0.4320803,0.432447003,0.417796447,0.385861261,0.430814507,0.394620491,0.448242283,0.452793974,0.442486053,710,740,741,777,790,818,850,880,954,1029,1083,147300,148700,151300,154000,162100,168600,178500,186800,220500,245700,253600,3266,3318,3677,3719,4657,5496,5335,4126,3865,2138,4455
"Kingsport-Bristol, TN-VA",-2253.41,-1282.14,1283.97,1597.49,-1757.52,-681.99,-3344.18,-1222.26,-1452.46,1598.79,177.96,87452,87815,90692,88655,86630,92096,87349,91522,91051,122863,121400,98331,97600,97413,97754,99318,100164,100883,102066,100624,134980,136074,97675,96973,96574,95788,97191,99170,99441,100793,99610,132785,133916,656,627,839,1966,2127,994,1442,1273,1014,2195,2158,176907,178088,178520,179046,178289,179464,176507,178065,180357,241632,245844,3425.705933,3319.156889,2506.062681,4093.087617,4259.031591,1702.104241,4171.785179,3307.273696,2432.374475,5121.565856,6308.530627,NA,-731,-187,341,1564,846,719,1183,-721,34356,1094,NA,-0.75%,-0.19%,0.35%,1.57%,0.84%,0.71%,1.16%,-0.72%,25.45%,0.80%,-2.29%,-1.31%,1.32%,1.63%,-1.77%,-0.68%,-3.31%,-1.20%,-1.44%,1.18%,0.13%,195,170,79,81,203,161,253,209,238,150,191,0.413073299,0.426038643,0.414982822,0.364903483,0.361740966,0.363917198,0.376038243,0.372570653,0.37153291,0.316066201,0.387780629,593,587,579,621,633,629,625,661,729,804,810,115900,120800,120100,122800,124300,136700,134900,149200,164200,185700,208100,6014,5782,5509,6098,6008,3337,4230,1547,4453,2361,1913
"Dayton-Kettering, OH",-12415.82,-13498.47,-9781.35,-10028.10,-7078.90,-15007.53,-7098.99,-8948.70,-1690.74,829.04,421.41,324847,323890,327609,330429,328353,329443,331426,332257,338505,348034,350657,365474,365942,366077,367217,366407,367724,368462,369761,369506,370700,372283,357675,358066,358925,359087,356780,362421,360492,362495,362729,367178,370176,7799,7876,7152,8130,9627,5303,7970,7266,6777,3522,2107,653197,656365,652865,653087,655930,657028,631032,631082,639343,643734,643700,3971.270933,4269.555394,4908.759279,2008.048799,4695.668672,1426.968027,5138.775794,4453.764712,5340.964413,2448.894602,2292.912929,NA,468,135,1140,-810,1317,738,1299,-127.5,1194,1583,NA,0.13%,0.04%,0.31%,-0.22%,0.36%,0.20%,0.35%,-0.03%,0.32%,0.43%,-3.40%,-3.69%,-2.67%,-2.73%,-1.93%,-4.08%,-1.93%,-2.42%,-0.46%,0.22%,0.11%,241,253,228,234,210,258,219,232,205,192,192,NA,NA,NA,NA,NA,NA,NA,0.406838776,0.384958996,0.437293377,0.451274175,NA,NA,NA,NA,NA,NA,NA,812,861,948,1027,NA,NA,NA,NA,NA,NA,NA,141900,169300,195400,209800,NA,NA,NA,NA,NA,NA,NA,1029,1548,1848,1720
"Wilmington, NC",-4616.72,-2130.74,-3496.41,1524.12,-2553.98,-551.63,420.86,-1325.64,-3555.67,-1212.06,129.25,105859,106815,110994,111547,114025,117982,120886,121734,127095,130017,133614,118239,118600,122935,120124,124075,128838,131495,132973,138556,141357,143576,116637,116553,121505,118642,123813,127748,130677,131833,137788,140128,142436,1602,2047,1430,1482,262,1090,818,1140,768,1229,1140,219325,222290,228720,233273,236631,241836,239432,241828,239339,248149,254329,826.9820361,2158.582436,1395.137799,2896.925317,1459.78118,3157.396943,3969.105687,2558.723188,745.3186043,2283.8945,2162.427875,NA,361,4335,-2811,3951,4763,2657,1478,2791.5,2801,2219,NA,0.30%,3.53%,-2.34%,3.18%,3.70%,2.02%,1.11%,2.01%,1.98%,1.55%,-3.90%,-1.80%,-2.84%,1.27%,-2.06%,-0.43%,0.32%,-1.00%,-2.57%,-0.86%,0.09%,249,194,234,88,211,150,149,202,268,221,193,0.447833035,0.520712798,0.523591837,0.444436621,0.50400555,0.41611708,0.54009613,0.504372411,0.489312359,0.459366008,0.491074963,881,888,879,935,921,911,1056,1093,1183,1316,1426,183900,190700,209000,219400,218300,230400,239600,257100,302700,357100,370400,34164,11445,10024,14041,13185,11911,11611,12008,9246,10861,32357
"Memphis, TN-MS-AR",-2743.83,-1776.89,304.45,-2305.38,-3324.68,-2046.28,4179.66,-1538.14,12995.93,1542.19,145.12,403500,406365,407910,410168,415703,408985,415723,419171,435560,432390,433442,459227,462522,465378,466255,470220,471212,472577,474559,473017,476136,480451,440371,443512,445654,449791,455553,453263,454513,462437,459994,467842,470020,18856,19010,19724,16464,14667,17949,18064,12122,13023,8294,10431,866930,870015,872224,876043,876708,882682,868339,870586,865409,861686,859925,13287.7804,14335.1042,16812.33371,16008.78217,14990.63671,20745.2114,21127.15236,19780.29988,14906.60206,14642.55981,14334.30494,NA,3295,2856,877,3965,992,1365,1982,-771,3119,4315,NA,0.71%,0.61%,0.19%,0.84%,0.21%,0.29%,0.42%,-0.16%,0.66%,0.90%,-0.60%,-0.38%,0.07%,-0.49%,-0.71%,-0.43%,0.88%,-0.32%,2.75%,0.32%,0.03%,122,132,119,151,169,151,131,178,100,186,194,0.509576558,0.481568884,0.510971417,0.475874405,0.470912971,0.451732996,0.517265776,0.472851679,0.48510054,0.487233331,0.494011568,825,825,851,852,872,887,893,949,1028,1132,1200,131100,128600,132900,139800,142400,148800,157700,169400,212800,244100,265200,4897,3263,3632,4220,3305,5204,2855,4552,3899,3642,3159
"Lima, OH",-982.55,-313.05,-1118.06,68.01,-803.72,-523.23,373.92,1416.43,-904.03,424.46,13.08,40366,40359,39411,40234,39982,40872,41203,40460,41021,41027,42147,44872,44332,44794,44668,44494,45039,44981,45092,44665,44633,44641,44052,42690,42794,42998,43102,43705,42910,42056,44460,43591,44357,820,1642,2000,1670,1392,1334,2071,3036,205,1042,284,84605,84824,84845,84028,83792,83805,79350,79189,78222,79532,79164,652.520485,0,280.3738458,781.2472662,302.0785879,253.4935592,19.77682178,942.3124487,460.878735,892.4877314,110.2234966,NA,-540,462,-126,-174,545,-58,111,-213.5,-32,8,NA,-1.22%,1.03%,-0.28%,-0.39%,1.21%,-0.13%,0.25%,-0.48%,-0.07%,0.02%,-2.19%,-0.71%,-2.50%,0.15%,-1.81%,-1.16%,0.83%,3.14%,-2.02%,0.95%,0.03%,189,146,221,119,205,174,133,81,254,161,195,0.564208717,0.439213766,0.498945942,0.462015617,0.439052909,0.441589811,0.405388515,0.377265644,0.378783532,0.289368567,0.38793359,646,651,612,642,684,636,691,735,784,893,941,103500,111200,98800,113500,112000,121500,118600,128700,144100,158700,179800,NA,NA,74,NA,219,0,144,NA,25,NA,NA
"Joplin, MO",-1278.05,-27.34,-2788.27,-2588.27,19.30,-3045.15,103.16,-864.89,106.76,-1916.75,-1.62,68745,67701,66564,67437,67380,69137,71145,67169,69645,70960,74991,74833,74906,75271,75506,75538,77183,76505,76953,77726,78405,80284,73898,73185,73623,74907,73268,75639,75030,74837,76513,77832,78824,935,1721,1648,599,2270,1544,1475,2116,1213,573,1460,138215,138064,139323,141001,140343,141719,139079,140271,142496,144951,146447,416.8583157,1972.961667,897.645933,1437.980319,2417.430592,0,410.3867327,3280.629234,3326.196151,1340.239369,77.93531094,NA,73,365,235,32,1645,-678,448,386.5,679,1879,NA,0.10%,0.48%,0.31%,0.04%,2.13%,-0.89%,0.58%,0.50%,0.87%,2.34%,-1.71%,-0.04%,-3.70%,-3.43%,0.03%,-3.95%,0.13%,-1.12%,0.14%,-2.44%,0.00%,173,121,252,245,141,254,154,207,186,265,196,0.509243483,0.438908817,0.436298022,0.384598985,0.357294879,0.422330945,0.425744973,0.393232306,0.405980838,0.421920466,0.469078947,611,662,709,739,701,715,753,716,868,836,890,101600,108900,109300,123300,114600,119700,126100,127800,149500,171000,169600,383,NA,654,418,577,372,NA,466,688,829,135
"Wichita, KS",-3477.59,-3814.31,-1295.62,-3159.44,-4331.28,-3680.81,-2484.88,2212.96,-1686.63,-2361.91,-18.57,230531,230439,228627,232388,232454,233552,236252,237738,241258,243585,251502,252541,253221,254625,255854,257250,259917,261896,263773,266194,268199,270474,250653,250023,248121,252841,253356,255038,259384,256714,262521,265310,266410,1888,3198,6504,3013,3894,4879,2512,7059,3673,2889,4064,470885,471188,474536,478103,483878,481082,474294,476578,485886,486746,489213,4874.148726,4045.466053,6444.791251,5403.96651,4712.399651,5835.799165,8413.832916,8859.103246,7155.688794,6841.752605,2204.1255,NA,680,1404,1229,1396,2667,1979,1877,1210.5,2005,2275,NA,0.27%,0.55%,0.48%,0.54%,1.03%,0.76%,0.71%,0.45%,0.75%,0.84%,-1.38%,-1.51%,-0.51%,-1.23%,-1.68%,-1.42%,-0.95%,0.84%,-0.63%,-0.88%,-0.01%,161,184,146,186,201,184,187,141,210,223,197,0.424491708,0.412414736,0.430741788,0.397308657,0.422372616,0.430869355,0.433933611,0.426254041,0.408315761,0.454366177,0.419647449,687,705,739,751,760,789,785,838,856,915,965,123000,121700,127600,127800,132400,138500,144500,152600,170900,191000,207300,736,562,740,859,1244,561,1466,650,1182,1879,1316
"Ocala, FL",-2729.25,-4092.59,-9871.81,-5963.05,-1896.90,-4080.57,-627.24,-582.28,5632.17,2306.20,-16.15,133910,133098,132276,125227,134239,140620,143441,145622,157350,163512,171370,150499,150304,153250,149426,152375,158096,160361,160132,170227,178061,188065,146971,147918,150684,147185,149666,156987,158758,158077,168017,175393,184695,3528,2386,2566,2241,2709,1109,1603,2055,2210,2668,3370,285318,285649,285950,290375,294877,298919,296410,300335,319593,327477,339477,3463.097011,3878.577382,1830.843363,9270.098168,6493.472035,5005.166946,7159.723005,4372.975324,8030.159195,5725.33356,4514.622368,NA,-195,2946,-3824,2949,5721,2265,-229,5047.5,7834,10004,NA,-0.13%,1.92%,-2.56%,1.94%,3.62%,1.41%,-0.14%,2.97%,4.40%,5.32%,-1.81%,-2.72%,-6.44%,-3.99%,-1.24%,-2.58%,-0.39%,-0.36%,3.31%,1.30%,-0.01%,175,230,291,258,186,222,172,180,87,148,198,0.570419439,0.504578621,0.408776856,0.459303681,0.453616599,0.404101587,0.428591831,0.437617555,0.409952396,0.486985464,0.565001827,772,787,811,776,836,857,901,970,1072,1078,1365,113200,107100,101300,120500,127000,137300,150600,161100,193300,243200,265100,12845,12363,9661,14477,12381,10592,9561,12612,11180,9821,6427
"Chico, CA",-2327.10,-3133.15,-2739.97,-5183.92,-6231.36,-2942.22,-1696.40,196.32,-212.91,-3141.30,-103.10,85388,85157,85367,85288,85531,88797,88635,77652,81353,82494,86278,93128,93435,93932,96044,96497,96812,97663,85189,87382,90094,90695,92242,92548,93283,95177,96461,96297,96332,84036,86843,89760,90695,886,887,649,867,36,515,1331,1153,539,334,0,184106,184566,185069,188308,189220,191824,186772,176386,168151,167183,166173,245.2350647,0,864.4531106,419.6931957,401.9883657,112.3160144,1494.147571,2569.258932,1151.848038,0,0,NA,307,497,2112,453,315,851,-12474,1096.5,2712,601,NA,0.33%,0.53%,2.20%,0.47%,0.33%,0.87%,-14.64%,1.25%,3.01%,0.66%,-2.50%,-3.35%,-2.92%,-5.40%,-6.46%,-3.04%,-1.74%,0.23%,-0.24%,-3.49%,-0.11%,205,245,237,277,286,237,213,162,200,285,199,0.586412981,0.571760091,0.582092561,0.585282342,0.621918435,0.544723295,0.526584003,0.495872456,0.517361727,0.544917828,0.555591088,891,864,887,942,987,1000,1066,1087,1238,1307,1434,203100,217600,225400,246700,256500,268900,274200,336600,370700,412700,420500,2577,3297,3391,2026,1882,2502,2264,1075,2859,2092,3090
"Pueblo, CO",-1702.95,-1049.65,-381.21,-2840.06,-706.74,1703.34,1877.17,1276.35,2825.30,1549.24,-89.90,59329,59804,60521,58646,59464,61999,62149,62895,65741,63280,63354,64981,65654,65911,65399,66359,66564,67351,66740,68539,67516,67371,64393,64299,65515,64499,65818,65591,66295,66567,67973,67269,67267,588,1355,396,900,541,973,1056,173,566,247,104,122210,123497,124274,125629,127493,128608,125729,127014,127395,125446,123422,375.8068891,433.4802711,1511.17889,76.79991393,2546.721654,2090.84652,2776.879286,1717.717673,1685.951976,2261.183017,624.1904231,NA,673,257,-512,960,205,787,-611,899.5,-1023,-145,NA,1.03%,0.39%,-0.78%,1.45%,0.31%,1.17%,-0.92%,1.31%,-1.52%,-0.22%,-2.62%,-1.60%,-0.58%,-4.34%,-1.07%,2.56%,2.79%,1.91%,4.12%,2.29%,-0.13%,209,187,148,265,182,70,88,116,61,114,200,0.540380944,0.513371328,0.509131383,0.551437784,0.528196946,0.453762729,0.518763307,0.512004774,0.455399918,0.545008573,0.470573339,755,755,750,752,813,781,775,860,890,1011,1165,131300,141000,137500,148000,156600,163300,173200,189600,253200,293400,313700,867,705,689,608,862,1054,871,1290,NA,1438,1695
"Pensacola-Ferry Pass-Brent, FL",-12697.88,-11602.64,-14559.21,-13625.04,-9746.14,-5678.09,-6690.63,897.24,-1637.73,-2381.13,-305.32,172413,172664,171180,177674,180519,184622,182711,186805,198701,207329,204345,195908,195539,197301,201913,202047,203017,205292,205851,214762,224443,224103,194437,193529,195687,200578,200460,201724,203841,203113,213396,223222,221062,1471,2010,1614,1335,1587,1293,1451,2738,1366,1221,3041,378397,381287,388553,393962,399685,400940,383775,389245,399926,408880,416102,671.8788706,599.1977162,1322.653515,376.4373473,1113.250891,2088.389675,5051.25553,7490.470237,2973.53856,2995.640132,5899.456179,NA,-369,1762,4612,134,970,2275,559,4455.5,9681,-340,NA,-0.19%,0.89%,2.28%,0.07%,0.48%,1.11%,0.27%,2.07%,4.31%,-0.15%,-6.48%,-5.93%,-7.38%,-6.75%,-4.82%,-2.80%,-3.26%,0.44%,-0.76%,-1.06%,-0.14%,288,284,299,295,277,231,252,154,213,232,201,0.455332623,0.495381424,0.446760865,0.423796686,0.472736172,0.483846646,0.442625758,0.414636427,0.461207251,0.554693657,0.463780228,901,897,919,911,925,975,999,1040,1118,1271,1374,132100,132400,134800,142700,153400,161300,169800,190300,242900,285700,308600,7751,8319,8937,5626,7682,10202,10065,12007,11392,5483,9048
"Bowling Green, KY",793.45,-1043.13,29.67,-1099.19,-107.03,-46.76,-1018.36,-1602.04,-1057.35,-1384.30,-108.30,45889,45541,44846,45771,47445,47997,48843,50489,53093,55234,57774,48010,49096,48612,50187,50739,52075,53779,55504,57093,59660,61389,47390,49030,47983,49656,50739,51803,52816,55182,56805,59380,60771,620,66,629,531,0,272,963,322,288,280,618,94711,96056,97131,101263,100772,103612,99595,100528,104501,107761,110616,0,160.7778662,880.3569885,473.5765025,775.9261217,1294.659272,488.0868497,539.5338053,0,0,0,NA,1086,-484,1575,552,1336,1704,1725,794.5,2567,1729,NA,2.21%,-1.00%,3.14%,1.09%,2.57%,3.17%,3.11%,1.39%,4.30%,2.82%,1.65%,-2.12%,0.06%,-2.19%,-0.21%,-0.09%,-1.89%,-2.89%,-1.85%,-2.32%,-0.18%,58,205,120,219,149,139,217,246,249,259,202,0.467028632,0.378232361,0.387213101,0.402649172,0.39580566,0.418369008,0.376419072,0.401789976,0.403192327,0.419237375,0.462884629,641,676,685,710,682,762,778,762,807,944,923,136400,125200,124900,127100,142300,150700,166600,170000,193400,237400,241200,1625,1227,3087,2080,2144,2526,1442,2439,2143,2055,NA
"Erie, PA",122.80,-1212.35,-1043.42,-2096.93,-3262.75,-3673.35,-2893.14,-2573.53,1044.55,800.93,-215.05,109972,110733,108655,110138,109705,108458,109797,110128,110561,111286,111118,117535,118221,117448,119261,118692,119962,119993,120237,117125,117983,118925,115925,117482,116716,118205,118453,118139,118965,118649,116801,116393,117827,1610,739,732,1056,239,1823,1028,1588,324,1590,1098,229314,229534,229083,228471,227033,226770,210533,209668,209309,208193,212181,549.7102826,0,1509.362303,441.111778,0,556.9005953,747.6254637,420.0681608,1672.860632,327.2639517,893.3832994,NA,686,-773,1813,-569,1270,31,244,-1556,858,942,NA,0.58%,-0.66%,1.52%,-0.48%,1.06%,0.03%,0.20%,-1.33%,0.73%,0.79%,0.10%,-1.03%,-0.89%,-1.76%,-2.75%,-3.06%,-2.41%,-2.14%,0.89%,0.68%,-0.18%,95,160,158,206,233,238,236,226,161,173,203,0.478609766,0.500085,0.450269221,0.453608508,0.414999195,0.412848084,0.486200698,0.441673654,0.447133616,0.464808776,0.461547394,656,697,694,701,703,719,761,756,784,812,894,115200,116100,124400,121800,125700,138700,143700,143600,151500,165600,179200,1841,965,2208,955,1524,1773,1623,1832,2423,1939,1102
"Charleston-North Charleston, SC",-4521.66,-7284.27,-2213.61,-3025.81,-153.77,714.76,-1688.69,1430.09,-13406.99,-1775.98,-851.90,262131,268003,276511,273720,287363,290585,294426,303974,316378,338066,347047,290208,296093,301380,304308,312591,318085,326209,331922,355808,365158,375956,286614,294643,297536,300123,307500,314431,323666,329454,354178,363086,372596,3594,1450,3844,4185,5091,3654,2543,2468,1630,2072,3360,563041,575554,590224,605661,620783,631688,624829,639200,652222,667897,681126,6528.368588,5671.980281,4748.416919,9229.705829,5347.698866,9553.815453,12219.06067,11153.70437,8165.823371,6038.779984,6994.996449,NA,5885,5287,2928,8283,5494,8124,5713,11943,9350,10798,NA,1.99%,1.75%,0.96%,2.65%,1.73%,2.49%,1.72%,3.36%,2.56%,2.87%,-1.56%,-2.46%,-0.73%,-0.99%,-0.05%,0.22%,-0.52%,0.43%,-3.77%,-0.49%,-0.23%,169,216,153,170,142,126,176,155,282,210,204,0.506787849,0.501562436,0.494822039,0.435056627,0.450929664,0.48999184,0.474287306,0.434739098,0.481326632,0.490561544,0.456603988,958,952,986,1034,1051,1102,1201,1212,1308,1447,1641,182500,187700,189700,210400,213200,245500,252900,266600,315400,363000,384800,14031,11003,11904,15110,11335,14247,13426,13791,14764,12851,11560
